,original_text,reframed_text,strategy,original_with_label,strategy2,strategy_reframe
15,"Been a hell of a week. Tired is not the word. Anxieties on top of anxieties. Overworked. Over tired. Emergency vet trips. Dog mum stress. No words down yday. Today, rest. Tomorrow we start again. WritingCommnunity WritingCommunity",Tomorrow will be a new day. I'll focus on my commitments without stressing and ejoy my time with my dog,"['impermanence', 'neutralizing']","Been a hell of a week. Tired is not the word. Anxieties on top of anxieties. Overworked. Over tired. Emergency vet trips. Dog mum stress. No words down yday. Today, rest. Tomorrow we start again. WritingCommnunity WritingCommunity Strategy: ['impermanence', 'neutralizing']","['impermanence', 'neutralizing'] ","['impermanence', 'neutralizing'] Tomorrow will be a new day. I'll focus on my commitments without stressing and ejoy my time with my dog"
16,"For the sake of the sanity of the students of Wales,please make sure your phone advisors know what their talking about",The phone advisors at Wales need to make sure they know what they are talking about to ensure they can properly help the students that call in.,['neutralizing'],"For the sake of the sanity of the students of Wales,please make sure your phone advisors know what their talking about Strategy: ['neutralizing']",['neutralizing'] ,['neutralizing'] The phone advisors at Wales need to make sure they know what they are talking about to ensure they can properly help the students that call in.
17,I'll do my english work in algebra and my economics work in anatomy tomorrow. lazy,I'll do my english work in algebra and my economics work in anatomy tomorrow. At least I'll be able to catch up on everything.,"['impermanence', 'optimism']","I'll do my english work in algebra and my economics work in anatomy tomorrow. lazy Strategy: ['impermanence', 'optimism']","['impermanence', 'optimism'] ","['impermanence', 'optimism'] I'll do my english work in algebra and my economics work in anatomy tomorrow. At least I'll be able to catch up on everything."
18,The Fray calms me down. Until I get worked up about situations Then I just need silence.,Silence calms me down when I’m all worked up.,"['impermanence', 'self_affirmation']","The Fray calms me down. Until I get worked up about situations Then I just need silence. Strategy: ['impermanence', 'self_affirmation']","['impermanence', 'self_affirmation'] ","['impermanence', 'self_affirmation'] Silence calms me down when I’m all worked up."
19,I think having a test in history and chem on the same day is the worst combination,"Having a test in history and chemistry on the same day is indeed tough, but hardwork leads to success.","['neutralizing', 'optimism', 'self_affirmation']","I think having a test in history and chem on the same day is the worst combination Strategy: ['neutralizing', 'optimism', 'self_affirmation']","['neutralizing', 'optimism', 'self_affirmation'] ","['neutralizing', 'optimism', 'self_affirmation'] Having a test in history and chemistry on the same day is indeed tough, but hardwork leads to success."
20,You know I really don't care about the power struggle between the papacy and secular authority in the medieval ages. stupid,I should concentrate on my own works.,['growth'],You know I really don't care about the power struggle between the papacy and secular authority in the medieval ages. stupid Strategy: ['growth'],['growth'] ,['growth'] I should concentrate on my own works.
21,Things are starting to change and that's not okay with me. Hate change. I wanna give up sometimes. Ugh,"Things are starting to change, and I don't really like changes. But, that's necessary and life can't be always easy.","['impermanence', 'neutralizing']","Things are starting to change and that's not okay with me. Hate change. I wanna give up sometimes. Ugh Strategy: ['impermanence', 'neutralizing']","['impermanence', 'neutralizing'] ","['impermanence', 'neutralizing'] Things are starting to change, and I don't really like changes. But, that's necessary and life can't be always easy."
22,The most stressful thing is trying to find a new profile picture when you annoyed with the one you have,Finding a new profile picture to replace the unwanted one is a bit tough but you can always find a better one.,"['neutralizing', 'optimism']","The most stressful thing is trying to find a new profile picture when you annoyed with the one you have Strategy: ['neutralizing', 'optimism']","['neutralizing', 'optimism'] ","['neutralizing', 'optimism'] Finding a new profile picture to replace the unwanted one is a bit tough but you can always find a better one."
23,I miss all my best friends for real. I'm in such need of a girls night!,"Even though I miss my friends now, I know many things that could make me happy now.","['optimism', 'thankfulness']","I miss all my best friends for real. I'm in such need of a girls night! Strategy: ['optimism', 'thankfulness']","['optimism', 'thankfulness'] ","['optimism', 'thankfulness'] Even though I miss my friends now, I know many things that could make me happy now."
24,"I want Blair and Chuck, Nate and Vanessa, Eric and I wished Jenny but unfortunately he likes guys , and Serena and Dan!!!!!!!!!! But NOOO","If Eric likes boys better, then that will leave more girls for me :D","['growth', 'optimism']","I want Blair and Chuck, Nate and Vanessa, Eric and I wished Jenny but unfortunately he likes guys , and Serena and Dan!!!!!!!!!! But NOOO Strategy: ['growth', 'optimism']","['growth', 'optimism'] ","['growth', 'optimism'] If Eric likes boys better, then that will leave more girls for me :D"
25,Driving to visit gran in hospital and son is sick all over him and car.So Ive had 2 go buy clothes and scrub car while dad visits gran,My son and my gran are sick but hopefully they will feel better soon.,['impermanence'],Driving to visit gran in hospital and son is sick all over him and car.So Ive had 2 go buy clothes and scrub car while dad visits gran Strategy: ['impermanence'],['impermanence'] ,['impermanence'] My son and my gran are sick but hopefully they will feel better soon.
26,"Not sure if it's the Naproxen I'm on for my tooth or this game, but my tummy hurts.","Not sure if it's the Naproxen I'm on for my tooth or this game, but my tummy hurts. I'll focus on things that make me happy until the pain goes away.",['optimism'],"Not sure if it's the Naproxen I'm on for my tooth or this game, but my tummy hurts. Strategy: ['optimism']",['optimism'] ,"['optimism'] Not sure if it's the Naproxen I'm on for my tooth or this game, but my tummy hurts. I'll focus on things that make me happy until the pain goes away."
27,Great Now How Am I Gunna Explain This To Her Shes So Close To Me I Cant Loose Her :'(,"I'm pretty sure that if I'm sincere and open to her, she will understand.",['optimism'],Great Now How Am I Gunna Explain This To Her Shes So Close To Me I Cant Loose Her :'( Strategy: ['optimism'],['optimism'] ,"['optimism'] I'm pretty sure that if I'm sincere and open to her, she will understand."
28,"Things I don't feel like doing today: working, cooking, driving, showering, wearing real clothes You get the idea. tired",I'm tired today but I'm thankful I have a job that I can go to and earn some money!,['thankfulness'],"Things I don't feel like doing today: working, cooking, driving, showering, wearing real clothes You get the idea. tired Strategy: ['thankfulness']",['thankfulness'] ,['thankfulness'] I'm tired today but I'm thankful I have a job that I can go to and earn some money!
29,Had roughly 5 hours sleep over the past 3 days and all I can hear is snoring cantcope,Some people just can't run on 5 hours of sleep over three days.,['neutralizing'],Had roughly 5 hours sleep over the past 3 days and all I can hear is snoring cantcope Strategy: ['neutralizing'],['neutralizing'] ,['neutralizing'] Some people just can't run on 5 hours of sleep over three days.
30,thinking about my future makes me want to go live on a island alone forever. annoyed,"My future seems to be unpredictable, so I can better go to an island and relax myself.","['neutralizing', 'optimism']","thinking about my future makes me want to go live on a island alone forever. annoyed Strategy: ['neutralizing', 'optimism']","['neutralizing', 'optimism'] ","['neutralizing', 'optimism'] My future seems to be unpredictable, so I can better go to an island and relax myself."
31,I know if i dont pick up my grades i can literally say bye bye to my dream college! :'(,I want to pick up my grades to improve and go to my dream college!,['growth'],I know if i dont pick up my grades i can literally say bye bye to my dream college! :'( Strategy: ['growth'],['growth'] ,['growth'] I want to pick up my grades to improve and go to my dream college!
32,"If I make it through the next 2 weeks without having a mental breakdown, it'll be a miracle",I'm positive I can make it through the next few weeks while keeping my cool.,"['optimism', 'thankfulness']","If I make it through the next 2 weeks without having a mental breakdown, it'll be a miracle Strategy: ['optimism', 'thankfulness']","['optimism', 'thankfulness'] ","['optimism', 'thankfulness'] I'm positive I can make it through the next few weeks while keeping my cool."
33,Finding another gray hair because I'm so stressed out. People seriously have no idea what Im dealing with right now.,"Finding gray hairs on me from all the stress, however it has been great for people to have reached out to help me deal with it.",['thankfulness'],Finding another gray hair because I'm so stressed out. People seriously have no idea what Im dealing with right now. Strategy: ['thankfulness'],['thankfulness'] ,"['thankfulness'] Finding gray hairs on me from all the stress, however it has been great for people to have reached out to help me deal with it."
34,Been watching a lot of WWII stuff because at least I know the authoritarians will be held accountable.,"Yes, they certainly were held accountable.  Bad people usually get what is coming to them so I wouldn't worry too much about it.","['neutralizing', 'optimism']","Been watching a lot of WWII stuff because at least I know the authoritarians will be held accountable. Strategy: ['neutralizing', 'optimism']","['neutralizing', 'optimism'] ","['neutralizing', 'optimism'] Yes, they certainly were held accountable.  Bad people usually get what is coming to them so I wouldn't worry too much about it."
35,Im going to have to toggle between the pens game and the new season of riverdale and Im,I'm going to play pens game and the new season of riverdale in toggle.,['impermanence'],Im going to have to toggle between the pens game and the new season of riverdale and Im Strategy: ['impermanence'],['impermanence'] ,['impermanence'] I'm going to play pens game and the new season of riverdale in toggle.
36,"Damn , so many women, so many to choose from, but not really interested in any of them. damn stressed couldntsleep goodnight tho",One day I will find the one women I dream of!,['impermanence'],"Damn , so many women, so many to choose from, but not really interested in any of them. damn stressed couldntsleep goodnight tho Strategy: ['impermanence']",['impermanence'] ,['impermanence'] One day I will find the one women I dream of!
37,"Ugh, tired of not having a job but nobody wants to higher someone that's leaving for college in 2 months!","It's hard for me to find a temporary job right now, but that's OK, because I start college it 2 months!","['impermanence', 'optimism']","Ugh, tired of not having a job but nobody wants to higher someone that's leaving for college in 2 months! Strategy: ['impermanence', 'optimism']","['impermanence', 'optimism'] ","['impermanence', 'optimism'] It's hard for me to find a temporary job right now, but that's OK, because I start college it 2 months!"
38,In bed looking at the hall way waiting for the clown to appear so I can kill it and go to sleep. Come on brain you seriously need to chill. brainhealth Autopilot artlife Sleepless,I'm having trouble sleeping.  I just need to relax and I'm sure I'll fall asleep soon.,"['growth', 'optimism']","In bed looking at the hall way waiting for the clown to appear so I can kill it and go to sleep. Come on brain you seriously need to chill. brainhealth Autopilot artlife Sleepless Strategy: ['growth', 'optimism']","['growth', 'optimism'] ","['growth', 'optimism'] I'm having trouble sleeping.  I just need to relax and I'm sure I'll fall asleep soon."
39,Can't sleep coz I'm thinking about the all the work I have to do.. has made a broken girl outta me! :(,I need to organize myself and finish my works to be able to sleep well,['impermanence'],Can't sleep coz I'm thinking about the all the work I have to do.. has made a broken girl outta me! :( Strategy: ['impermanence'],['impermanence'] ,['impermanence'] I need to organize myself and finish my works to be able to sleep well
40,It's bed. Long. Stressful day. And to put a cherry on that. I'm sick fml sick,I need sleep to rest and recover,['neutralizing'],It's bed. Long. Stressful day. And to put a cherry on that. I'm sick fml sick Strategy: ['neutralizing'],['neutralizing'] ,['neutralizing'] I need sleep to rest and recover
41,Desperately in need of a massage Someone want to book me a nice spa appointment?,I feel like I need a massage and a spa appointment would make me a better person.,['optimism'],Desperately in need of a massage Someone want to book me a nice spa appointment? Strategy: ['optimism'],['optimism'] ,['optimism'] I feel like I need a massage and a spa appointment would make me a better person.
42,I need a weekend get away. To bad that won't even get me away from homework wah,My homework might slow down a bit.,['neutralizing'],I need a weekend get away. To bad that won't even get me away from homework wah Strategy: ['neutralizing'],['neutralizing'] ,['neutralizing'] My homework might slow down a bit.
43,How am I meant to get an A and two B's in my A Levels!!! Queens you's are too strict! :( out,"I need to get an A and two B's in my A- levels, it's really high but I know I can do it.","['neutralizing', 'optimism']","How am I meant to get an A and two B's in my A Levels!!! Queens you's are too strict! :( out Strategy: ['neutralizing', 'optimism']","['neutralizing', 'optimism'] ","['neutralizing', 'optimism'] I need to get an A and two B's in my A- levels, it's really high but I know I can do it."
44,"Blaming my awful breakout on the fact we leave in just over 1 month and have made no further planning, or started moving out",I have to complete all my works before I leave.,['growth'],"Blaming my awful breakout on the fact we leave in just over 1 month and have made no further planning, or started moving out Strategy: ['growth']",['growth'] ,['growth'] I have to complete all my works before I leave.
45,Honestly don't know how I'm going to finish all of this homework and projects! homework FAIL Tired FML,I have a lot of homework and projects to do but I am determined to do them.,"['neutralizing', 'optimism']","Honestly don't know how I'm going to finish all of this homework and projects! homework FAIL Tired FML Strategy: ['neutralizing', 'optimism']","['neutralizing', 'optimism'] ","['neutralizing', 'optimism'] I have a lot of homework and projects to do but I am determined to do them."
46,One of those days where nothing has gone right and wishing I could have 1 day to just do nothing.,"Today was not such a pleasant day, but I know some things I could do now to improve the end of the day.","['optimism', 'thankfulness']","One of those days where nothing has gone right and wishing I could have 1 day to just do nothing. Strategy: ['optimism', 'thankfulness']","['optimism', 'thankfulness'] ","['optimism', 'thankfulness'] Today was not such a pleasant day, but I know some things I could do now to improve the end of the day."
47,Trying to remind myself that bombing this audition is a good thing. Stupid Jazz stupid scholarships.,I tried my best at the audition. We can't all win I suppose.,['self_affirmation'],Trying to remind myself that bombing this audition is a good thing. Stupid Jazz stupid scholarships. Strategy: ['self_affirmation'],['self_affirmation'] ,['self_affirmation'] I tried my best at the audition. We can't all win I suppose.
48,Being ready to go back to school and being prepared to go back to school are two completely different things,"Being ready to go back to school and being prepared to go back to school are two completely different things, but time will fix it.","['growth', 'optimism']","Being ready to go back to school and being prepared to go back to school are two completely different things Strategy: ['growth', 'optimism']","['growth', 'optimism'] ","['growth', 'optimism'] Being ready to go back to school and being prepared to go back to school are two completely different things, but time will fix it."
49,In your stressful situation there is a peace that God gives you that is impossible for man to make!,I can think of several positive aspects that believing in God gives strenght in life,['thankfulness'],In your stressful situation there is a peace that God gives you that is impossible for man to make! Strategy: ['thankfulness'],['thankfulness'] ,['thankfulness'] I can think of several positive aspects that believing in God gives strenght in life
50,"1 test down, 1 test to go. usually i dont hate fridays but this one sucks.",Just this Friday to finish the last test.,['neutralizing'],"1 test down, 1 test to go. usually i dont hate fridays but this one sucks. Strategy: ['neutralizing']",['neutralizing'] ,['neutralizing'] Just this Friday to finish the last test.
51,talacre beach really need to sort there checking in routeen caravans are never ready 30mins later and still sat in the car waiting .. peak season to low season its always the same 3 kids stuck in a car not good,Talacre beach's check in process could do with some improvement to reduce the wait time for customers.,['neutralizing'],talacre beach really need to sort there checking in routeen caravans are never ready 30mins later and still sat in the car waiting .. peak season to low season its always the same 3 kids stuck in a car not good Strategy: ['neutralizing'],['neutralizing'] ,['neutralizing'] Talacre beach's check in process could do with some improvement to reduce the wait time for customers.
52,Morning Twitter-Birds! I'm taking my GRE in 2 hours and am a little stressed right now. So I'm sitting in taking a study-break. I hate my admission to grad school rides on a standardized test after 15 years on the job. BeReal NeverGiveUp Tired,"Soon the GRE’s will be over, and I’ll be able to further my career.","['growth', 'optimism']","Morning Twitter-Birds! I'm taking my GRE in 2 hours and am a little stressed right now. So I'm sitting in taking a study-break. I hate my admission to grad school rides on a standardized test after 15 years on the job. BeReal NeverGiveUp Tired Strategy: ['growth', 'optimism']","['growth', 'optimism'] ","['growth', 'optimism'] Soon the GRE’s will be over, and I’ll be able to further my career."
53,Honestly trying so hard right now to have a freak out.. ugh life stress money..,"Life is not easy for everyone one, and everyone has money problems and stress.",['impermanence'],Honestly trying so hard right now to have a freak out.. ugh life stress money.. Strategy: ['impermanence'],['impermanence'] ,"['impermanence'] Life is not easy for everyone one, and everyone has money problems and stress."
54,"My dad has been asking for grapes forever. He doesn't want seedless. I've checked at least 10 different places and they only freaking carry seedless. I'm gonna lost my mind if I don't find this man his grapes, cause he's losing his mind and he's gonna keep asking.",Stores need to offer more normal grapes not seedless ones so my dad would stop ragging on me about getting some.,['neutralizing'],"My dad has been asking for grapes forever. He doesn't want seedless. I've checked at least 10 different places and they only freaking carry seedless. I'm gonna lost my mind if I don't find this man his grapes, cause he's losing his mind and he's gonna keep asking. Strategy: ['neutralizing']",['neutralizing'] ,['neutralizing'] Stores need to offer more normal grapes not seedless ones so my dad would stop ragging on me about getting some.
55,Can't Ever Find A Decent Team While Playing LeagueOfLegends . They All Act Retarded .,It's really hard to find a team that I like in League of Legends. Maybe I'll have better luck with one of my other games.,['optimism'],Can't Ever Find A Decent Team While Playing LeagueOfLegends . They All Act Retarded . Strategy: ['optimism'],['optimism'] ,['optimism'] It's really hard to find a team that I like in League of Legends. Maybe I'll have better luck with one of my other games.
56,So exhausted. :( Only so much I can do in all areas of my life in a day/week but it never ends! :( frustrated,"I have a lot to do, but I’m really proud of myself for keeping it all together.","['neutralizing', 'optimism']","So exhausted. :( Only so much I can do in all areas of my life in a day/week but it never ends! :( frustrated Strategy: ['neutralizing', 'optimism']","['neutralizing', 'optimism'] ","['neutralizing', 'optimism'] I have a lot to do, but I’m really proud of myself for keeping it all together."
57,"Could someone just give me like $1000? It would change my life, stressing about rent, bills and food money is just the worst. ineedhelp helpme moneyisstupid","Time to focus on making a budget, so I don't have to stress about rent, bills, and food money.",['growth'],"Could someone just give me like $1000? It would change my life, stressing about rent, bills and food money is just the worst. ineedhelp helpme moneyisstupid Strategy: ['growth']",['growth'] ,"['growth'] Time to focus on making a budget, so I don't have to stress about rent, bills, and food money."
58,maybe just maybe I should think about switching sides on my Senior Paper confused Omg,I will talk to my teacher and will figure this out soon.,"['optimism', 'self_affirmation']","maybe just maybe I should think about switching sides on my Senior Paper confused Omg Strategy: ['optimism', 'self_affirmation']","['optimism', 'self_affirmation'] ","['optimism', 'self_affirmation'] I will talk to my teacher and will figure this out soon."
59,"wish i didnt have this exam tomorrow morning, got enough on my plate to think about","I have this exam tomorrow morning, got enough on my plate to think about but I just got to study hard today and I will do fine",['self_affirmation'],"wish i didnt have this exam tomorrow morning, got enough on my plate to think about Strategy: ['self_affirmation']",['self_affirmation'] ,"['self_affirmation'] I have this exam tomorrow morning, got enough on my plate to think about but I just got to study hard today and I will do fine"
60,I'm just really confused about what to do with my life right now I just wish I knew what to do.,"I am a bit confused about my life now, and I hope to get a solution soon.","['neutralizing', 'optimism']","I'm just really confused about what to do with my life right now I just wish I knew what to do. Strategy: ['neutralizing', 'optimism']","['neutralizing', 'optimism'] ","['neutralizing', 'optimism'] I am a bit confused about my life now, and I hope to get a solution soon."
61,"Not even funny how bad business is going to go tomorrow , why didnt i start studying earlier ?",Time to learn to plan better and start my assignments sooner!,['growth'],"Not even funny how bad business is going to go tomorrow , why didnt i start studying earlier ? Strategy: ['growth']",['growth'] ,['growth'] Time to learn to plan better and start my assignments sooner!
62,"To all my friends that think I'm blessed, they don't know my head's a mess""",I hope my mind clears a bit and I get into a positive frame of mind.,['optimism'],"To all my friends that think I'm blessed, they don't know my head's a mess"" Strategy: ['optimism']",['optimism'] ,['optimism'] I hope my mind clears a bit and I get into a positive frame of mind.
63,I'm so p'd off .. I'm going to miss my spin class because of sodding traffic!!!!! Ahhhhhhhh,I will miss a class because of trafic but I am sure the teacher will understand,['optimism'],I'm so p'd off .. I'm going to miss my spin class because of sodding traffic!!!!! Ahhhhhhhh Strategy: ['optimism'],['optimism'] ,['optimism'] I will miss a class because of trafic but I am sure the teacher will understand
64,Having 53480 things to do and taking a nap instead has became a terrible habit of mine lately,It‚Äôs good that I take naps and times out when I am really busy,"['neutralizing', 'optimism', 'self_affirmation', 'thankfulness']","Having 53480 things to do and taking a nap instead has became a terrible habit of mine lately Strategy: ['neutralizing', 'optimism', 'self_affirmation', 'thankfulness']","['neutralizing', 'optimism', 'self_affirmation', 'thankfulness'] ","['neutralizing', 'optimism', 'self_affirmation', 'thankfulness'] It‚Äôs good that I take naps and times out when I am really busy"
65,I need to go for a nice run or something. I don't know I just need to get out of here,"As I wish to get out of here, it would be better if I go for a nice run.",['neutralizing'],I need to go for a nice run or something. I don't know I just need to get out of here Strategy: ['neutralizing'],['neutralizing'] ,"['neutralizing'] As I wish to get out of here, it would be better if I go for a nice run."
66,"Stressed? Take a few seconds, and try this breaking technique to relieve the pressure. Destress",Do not get stressed. Try this interruption technique and watch your stress disappear like magic along with your pressure.,"['neutralizing', 'optimism']","Stressed? Take a few seconds, and try this breaking technique to relieve the pressure. Destress Strategy: ['neutralizing', 'optimism']","['neutralizing', 'optimism'] ","['neutralizing', 'optimism'] Do not get stressed. Try this interruption technique and watch your stress disappear like magic along with your pressure."
67,I wish this empty feeling inside would just go away. It's simple you either you wanna be with me or you don't!!,I wish this empty feeling inside would just go away or someone will help me.,"['self_affirmation', 'thankfulness']","I wish this empty feeling inside would just go away. It's simple you either you wanna be with me or you don't!! Strategy: ['self_affirmation', 'thankfulness']","['self_affirmation', 'thankfulness'] ","['self_affirmation', 'thankfulness'] I wish this empty feeling inside would just go away or someone will help me."
68,Think I'm getting a canker sore I was literally JUST saying today how long it's been since I've had one. I even knocked on wood.,"Today I was talking about how long it's been since I had a cold sore and guess what, I have a cold sore. It was even funny!","['neutralizing', 'optimism', 'self_affirmation']","Think I'm getting a canker sore I was literally JUST saying today how long it's been since I've had one. I even knocked on wood. Strategy: ['neutralizing', 'optimism', 'self_affirmation']","['neutralizing', 'optimism', 'self_affirmation'] ","['neutralizing', 'optimism', 'self_affirmation'] Today I was talking about how long it's been since I had a cold sore and guess what, I have a cold sore. It was even funny!"
69,Gah!! I always go to bed sooo late on nights I need to be up sooo earlytomorrows gonna be such a long day,I think I'll go to sleep earlier to get a good night sleep for tomorrow.,"['growth', 'neutralizing']","Gah!! I always go to bed sooo late on nights I need to be up sooo earlytomorrows gonna be such a long day Strategy: ['growth', 'neutralizing']","['growth', 'neutralizing'] ","['growth', 'neutralizing'] I think I'll go to sleep earlier to get a good night sleep for tomorrow."
70,want to just hop on a random international bound plane and go where ever it takes me,"I need to think more positively, so that I don't feel like running onto a plane and escaping my problems.","['growth', 'neutralizing']","want to just hop on a random international bound plane and go where ever it takes me Strategy: ['growth', 'neutralizing']","['growth', 'neutralizing'] ","['growth', 'neutralizing'] I need to think more positively, so that I don't feel like running onto a plane and escaping my problems."
71,Job applications handed in. One stressful thing out the way!! Now my next tackle ahead. Forever fighting fires. :(,Job applications handed in. Now my next tackle ahead. I have to be confident,['growth'],Job applications handed in. One stressful thing out the way!! Now my next tackle ahead. Forever fighting fires. :( Strategy: ['growth'],['growth'] ,['growth'] Job applications handed in. Now my next tackle ahead. I have to be confident
72,So annoyed at myself that I mucked up part of my interview that that's all I can think about.,I didn't do very well on my interview but I'll be more prepared next time!,"['growth', 'optimism']","So annoyed at myself that I mucked up part of my interview that that's all I can think about. Strategy: ['growth', 'optimism']","['growth', 'optimism'] ","['growth', 'optimism'] I didn't do very well on my interview but I'll be more prepared next time!"
73,"Escape! Im planning to escape aboard a cargo ship to nowhere, to anywhere it takes me.",It would be exciting to escape aboard a cargo ship to some new place.,['optimism'],"Escape! Im planning to escape aboard a cargo ship to nowhere, to anywhere it takes me. Strategy: ['optimism']",['optimism'] ,['optimism'] It would be exciting to escape aboard a cargo ship to some new place.
74,Today has been the worst day ever. Really could use my papa to talk to right now,My day was bad but talking with my papa would make me feel a lot better.,['neutralizing'],Today has been the worst day ever. Really could use my papa to talk to right now Strategy: ['neutralizing'],['neutralizing'] ,['neutralizing'] My day was bad but talking with my papa would make me feel a lot better.
