,original_text,reframed_text,strategy,original_with_label,strategy2,strategy_reframe
10,"I am so upset right now, I havent liked anybodys post in the past 24 hours, I think I have run out of likes or have hit my like limit.","I haven't liked anybodys posts in the past 24 hours, I think I need to be more encouraging.",['growth'],"I am so upset right now, I havent liked anybodys post in the past 24 hours, I think I have run out of likes or have hit my like limit. Strategy: ['growth']",['growth'] ,"['growth'] I haven't liked anybodys posts in the past 24 hours, I think I need to be more encouraging."
11,So Ive been binge watching Luther over the passed few days and I love it and but I cant understand why no one ever calls the police! Theres a bloody murderer in your house! Pick up a phooooone!!,"I've been binge-watching Luther over the past few days, and I love it, but I can't understand why the police aren't called.",['neutralizing'],So Ive been binge watching Luther over the passed few days and I love it and but I cant understand why no one ever calls the police! Theres a bloody murderer in your house! Pick up a phooooone!! Strategy: ['neutralizing'],['neutralizing'] ,"['neutralizing'] I've been binge-watching Luther over the past few days, and I love it, but I can't understand why the police aren't called."
12,"I have a huge project due tomorrow morning. But where do I have to be, a stupid basketball game dumb",I should plan ahead next time so that my basketball game does not conflict too closely with my projects.,['growth'],"I have a huge project due tomorrow morning. But where do I have to be, a stupid basketball game dumb Strategy: ['growth']",['growth'] ,['growth'] I should plan ahead next time so that my basketball game does not conflict too closely with my projects.
13,Just got off of work. Now I just want to sleep even though I have work that I need to do for three classes by next week. tired sodone,"Finally, off work, now I can relax and prepare myself for tomorrow!","['growth', 'impermanence']","Just got off of work. Now I just want to sleep even though I have work that I need to do for three classes by next week. tired sodone Strategy: ['growth', 'impermanence']","['growth', 'impermanence'] ","['growth', 'impermanence'] Finally, off work, now I can relax and prepare myself for tomorrow!"
14,"If I make I through today, it will be a work of God. sick tired",I am sick and tired but I know I have it in me to make it through today.,"['neutralizing', 'optimism', 'self_affirmation']","If I make I through today, it will be a work of God. sick tired Strategy: ['neutralizing', 'optimism', 'self_affirmation']","['neutralizing', 'optimism', 'self_affirmation'] ","['neutralizing', 'optimism', 'self_affirmation'] I am sick and tired but I know I have it in me to make it through today."
15,I hope this day gets better but from the looks of it I think it's going downhill fast! stressed,"This day will be better the later it goes on, and I will feel good.",['optimism'],I hope this day gets better but from the looks of it I think it's going downhill fast! stressed Strategy: ['optimism'],['optimism'] ,"['optimism'] This day will be better the later it goes on, and I will feel good."
16,This is not good I went from Weighing 120 pounds at the beginning of this year too now I weigh 96 pounds,I went from weighting 120 pounds to 96 pounds which can be good since I will have lower cholesterol.,['neutralizing'],This is not good I went from Weighing 120 pounds at the beginning of this year too now I weigh 96 pounds Strategy: ['neutralizing'],['neutralizing'] ,['neutralizing'] I went from weighting 120 pounds to 96 pounds which can be good since I will have lower cholesterol.
17,This week is going to be extremely shitty and I can already see it coming,"I know I can handle what this week has in store for me, no matter how it starts off!","['optimism', 'self_affirmation']","This week is going to be extremely shitty and I can already see it coming Strategy: ['optimism', 'self_affirmation']","['optimism', 'self_affirmation'] ","['optimism', 'self_affirmation'] I know I can handle what this week has in store for me, no matter how it starts off!"
18,Wish i could make a decision about what i wanted to do with my life stressed,too interested in different things to know exactly what I want to do with my life #jackofalltrades,['self_affirmation'],Wish i could make a decision about what i wanted to do with my life stressed Strategy: ['self_affirmation'],['self_affirmation'] ,['self_affirmation'] too interested in different things to know exactly what I want to do with my life #jackofalltrades
19,This was not the way I wanted my morning to start. I just want a good day for once.. All day long. impossible,"This was not the way I wanted my morning to start. I just wanted a good day, but I'm sure tomorrow will be better.",['optimism'],This was not the way I wanted my morning to start. I just want a good day for once.. All day long. impossible Strategy: ['optimism'],['optimism'] ,"['optimism'] This was not the way I wanted my morning to start. I just wanted a good day, but I'm sure tomorrow will be better."
20,UGH we have to sample all our heme manuallydo you know how hard it is to keep up with a slow Sysmex with 3 other instruments?,It’s hard to sample all our heme manually with a slow sysmex but I know we can do it!.,"['neutralizing', 'optimism']","UGH we have to sample all our heme manuallydo you know how hard it is to keep up with a slow Sysmex with 3 other instruments? Strategy: ['neutralizing', 'optimism']","['neutralizing', 'optimism'] ","['neutralizing', 'optimism'] It’s hard to sample all our heme manually with a slow sysmex but I know we can do it!."
21,Whoever thought of the song I love college must have been retarded. I hate college.,"The tastes of others and mine do not agree, but that is the beauty of diversity in opinions.","['optimism', 'thankfulness']","Whoever thought of the song I love college must have been retarded. I hate college. Strategy: ['optimism', 'thankfulness']","['optimism', 'thankfulness'] ","['optimism', 'thankfulness'] The tastes of others and mine do not agree, but that is the beauty of diversity in opinions."
22,"I thought I was going to go to bed early, boy did I think wrong. cantsleep insomnia",I'm sure I will sleep better tomorrow night.,['optimism'],"I thought I was going to go to bed early, boy did I think wrong. cantsleep insomnia Strategy: ['optimism']",['optimism'] ,['optimism'] I'm sure I will sleep better tomorrow night.
23,not sleeping because I have so much shit to do before school starts on Monday <;<;<;<;<;<;<;,I'm not sleeping that much lately as I have a lot of things to do before classes on Monday but I understand it's just a period and that period has its good part.,['optimism'],not sleeping because I have so much shit to do before school starts on Monday <;<;<;<;<;<;<; Strategy: ['optimism'],['optimism'] ,['optimism'] I'm not sleeping that much lately as I have a lot of things to do before classes on Monday but I understand it's just a period and that period has its good part.
24,damn I only have half an hour to an hour to finish my last paper idk if I can do it finials senior allnighter,"Only an hour left, and I'm done with my last paper of senior year!","['growth', 'neutralizing', 'optimism']","damn I only have half an hour to an hour to finish my last paper idk if I can do it finials senior allnighter Strategy: ['growth', 'neutralizing', 'optimism']","['growth', 'neutralizing', 'optimism'] ","['growth', 'neutralizing', 'optimism'] Only an hour left, and I'm done with my last paper of senior year!"
25,Took me hour and half to get to a place in gloucester fucking joke!!! Cheers sat nav for taking me through bus lanes etc,"It took me 1.5 hrs to get a place in gloucester, but thankfully im finally here.","['neutralizing', 'thankfulness']","Took me hour and half to get to a place in gloucester fucking joke!!! Cheers sat nav for taking me through bus lanes etc Strategy: ['neutralizing', 'thankfulness']","['neutralizing', 'thankfulness'] ","['neutralizing', 'thankfulness'] It took me 1.5 hrs to get a place in gloucester, but thankfully im finally here."
26,Failure is never okay with me. Particularly when it has to do w/my future I'll be at the library all day studying if you need me.,I will never fail. I will be amazing!,"['growth', 'neutralizing']","Failure is never okay with me. Particularly when it has to do w/my future I'll be at the library all day studying if you need me. Strategy: ['growth', 'neutralizing']","['growth', 'neutralizing'] ","['growth', 'neutralizing'] I will never fail. I will be amazing!"
27,Gonna fail tomorrow. Will be a 10 minute presentation of hell where I will want the ground to swallow me up. unprepared,Next time I will be more prepared for long presentations and avoid failing them.,['growth'],Gonna fail tomorrow. Will be a 10 minute presentation of hell where I will want the ground to swallow me up. unprepared Strategy: ['growth'],['growth'] ,['growth'] Next time I will be more prepared for long presentations and avoid failing them.
28,I WILL be able to get a different phone because the one I got today sucks! confusing,I am going to get a new phone which is good.,['growth'],I WILL be able to get a different phone because the one I got today sucks! confusing Strategy: ['growth'],['growth'] ,['growth'] I am going to get a new phone which is good.
29,"Stupid - Case Study, BSL Assessment, Presentation, Exam on Psychobiology and Applied Psychology. The next few weeks going to be fun..",I hope I do well in my exams that are scheduled for the next few weeks.,"['growth', 'impermanence']","Stupid - Case Study, BSL Assessment, Presentation, Exam on Psychobiology and Applied Psychology. The next few weeks going to be fun.. Strategy: ['growth', 'impermanence']","['growth', 'impermanence'] ","['growth', 'impermanence'] I hope I do well in my exams that are scheduled for the next few weeks."
30,It takes me at least five days in advance to figure out what to wear for AC..,"But when I get dressed, I am always satisfied.",['self_affirmation'],It takes me at least five days in advance to figure out what to wear for AC.. Strategy: ['self_affirmation'],['self_affirmation'] ,"['self_affirmation'] But when I get dressed, I am always satisfied."
31,City roads are NOT for a girl that grew up in the country! FML Scary,The roads in the country are much safer than the ones in the city.,['neutralizing'],City roads are NOT for a girl that grew up in the country! FML Scary Strategy: ['neutralizing'],['neutralizing'] ,['neutralizing'] The roads in the country are much safer than the ones in the city.
32,"Well if things work out, ill be going to the doctors tomorrow. Hopefully it's nothing to bad. worried","Going to the doctor tomorrow, thanks for everyone that has been wishing me well, I am sure it's nothing bad","['optimism', 'thankfulness']","Well if things work out, ill be going to the doctors tomorrow. Hopefully it's nothing to bad. worried Strategy: ['optimism', 'thankfulness']","['optimism', 'thankfulness'] ","['optimism', 'thankfulness'] Going to the doctor tomorrow, thanks for everyone that has been wishing me well, I am sure it's nothing bad"
33,This has been like the worst week ever im so done with everything. sick tired,I made it to the end of the most challenging week ever!,['optimism'],This has been like the worst week ever im so done with everything. sick tired Strategy: ['optimism'],['optimism'] ,['optimism'] I made it to the end of the most challenging week ever!
34,"I know it's politically incorrect to hate on babies, but some of them really are arseholes!! screaming","Babies can be really difficult sometimes, shout out to all the moms and dads that deal with them with grace!","['neutralizing', 'optimism']","I know it's politically incorrect to hate on babies, but some of them really are arseholes!! screaming Strategy: ['neutralizing', 'optimism']","['neutralizing', 'optimism'] ","['neutralizing', 'optimism'] Babies can be really difficult sometimes, shout out to all the moms and dads that deal with them with grace!"
35,REALLY don't wanna write this paper. I'm sick of putting so much effort into school work only to get bad grades. I need a break,"Even though my grades are not good, I am committed to improving these grades.",['optimism'],REALLY don't wanna write this paper. I'm sick of putting so much effort into school work only to get bad grades. I need a break Strategy: ['optimism'],['optimism'] ,"['optimism'] Even though my grades are not good, I am committed to improving these grades."
36,It seems like all I do is sleep work sleep work sleep work.. tired of being a grown-up.. I wanna be like 8 again!!,"So much work and few hours of sleep, make me miss and want to go back in time to better enjoy the life of a child. Never come back.","['neutralizing', 'optimism']","It seems like all I do is sleep work sleep work sleep work.. tired of being a grown-up.. I wanna be like 8 again!! Strategy: ['neutralizing', 'optimism']","['neutralizing', 'optimism'] ","['neutralizing', 'optimism'] So much work and few hours of sleep, make me miss and want to go back in time to better enjoy the life of a child. Never come back."
37,An ice cold Rekorderlig after one of the crappiest days at work in a while shattered,An ice-cold Rekorderlig after a long day at work,['optimism'],An ice cold Rekorderlig after one of the crappiest days at work in a while shattered Strategy: ['optimism'],['optimism'] ,['optimism'] An ice-cold Rekorderlig after a long day at work
38,Dance dreams are the worst. I seriously can't handle another dream about breaking my neck or back,"Dance dreams are the worst haha, because I want to dance, and I can handle breaking my neck or back",['neutralizing'],Dance dreams are the worst. I seriously can't handle another dream about breaking my neck or back Strategy: ['neutralizing'],['neutralizing'] ,"['neutralizing'] Dance dreams are the worst haha, because I want to dance, and I can handle breaking my neck or back"
39,If I don't have gray hair by the end of the week it'll be a miracle,"The semester is very stressful, but I need to remain calm because it is coming to an end.","['neutralizing', 'optimism']","If I don't have gray hair by the end of the week it'll be a miracle Strategy: ['neutralizing', 'optimism']","['neutralizing', 'optimism'] ","['neutralizing', 'optimism'] The semester is very stressful, but I need to remain calm because it is coming to an end."
40,Life can be so stressful sometimes! I need a hot bubble bath and a cold drink.,I need a hot bubble bath and a cold drink. To relieve the stress.,['impermanence'],Life can be so stressful sometimes! I need a hot bubble bath and a cold drink. Strategy: ['impermanence'],['impermanence'] ,['impermanence'] I need a hot bubble bath and a cold drink. To relieve the stress.
41,Would like to thank for not delivering half the stuff I need to cook for seven people today!,I hope people deliver the ordered stuff correctly on time.,['neutralizing'],Would like to thank for not delivering half the stuff I need to cook for seven people today! Strategy: ['neutralizing'],['neutralizing'] ,['neutralizing'] I hope people deliver the ordered stuff correctly on time.
42,If its not one thingits another. Nd if its not that its something else I really wanna say FUCK EVERYTHING!!! nd I just might,"I hate everything that is happening, but it won't last forever.",['impermanence'],If its not one thingits another. Nd if its not that its something else I really wanna say FUCK EVERYTHING!!! nd I just might Strategy: ['impermanence'],['impermanence'] ,"['impermanence'] I hate everything that is happening, but it won't last forever."
43,"I have the sudden urge to dye my hair dark brown, join the military, and buy a puppy.","I am ready to start doing something new, I feel like a puppy would be great.","['neutralizing', 'optimism']","I have the sudden urge to dye my hair dark brown, join the military, and buy a puppy. Strategy: ['neutralizing', 'optimism']","['neutralizing', 'optimism'] ","['neutralizing', 'optimism'] I am ready to start doing something new, I feel like a puppy would be great."
44,"I dont trust him and his Etonian cronies who have millions stashed away in off shore funds as far as I could push them - they are a disgrace to the human race!! Also BJs looking knackered now as well, I wonder why??",Not trusting people is a right that everyone has and after all we are not obliged to trust everyone.,['impermanence'],"I dont trust him and his Etonian cronies who have millions stashed away in off shore funds as far as I could push them - they are a disgrace to the human race!! Also BJs looking knackered now as well, I wonder why?? Strategy: ['impermanence']",['impermanence'] ,['impermanence'] Not trusting people is a right that everyone has and after all we are not obliged to trust everyone.
45,"Why is it that when one thing goes wrong, a million things start to get bad? confused",Lots of things haven’t gone my way at the moment but I know this is just a stage in life and things will start to get better.,"['growth', 'neutralizing', 'optimism']","Why is it that when one thing goes wrong, a million things start to get bad? confused Strategy: ['growth', 'neutralizing', 'optimism']","['growth', 'neutralizing', 'optimism'] ","['growth', 'neutralizing', 'optimism'] Lots of things haven’t gone my way at the moment but I know this is just a stage in life and things will start to get better."
46,well it's starting at the right time because I am and need to take some anger out!!!,I hope I can take some time out so that I can channel my anger in the right direction and get some peace of mind.,['optimism'],well it's starting at the right time because I am and need to take some anger out!!! Strategy: ['optimism'],['optimism'] ,['optimism'] I hope I can take some time out so that I can channel my anger in the right direction and get some peace of mind.
47,I'm so hungry but when i try and eat i feel sick and can't eat,"I'm hungry, but when I try to eat I feel sick and can't eat. Fortunately, I took a medicine and soon I'll be better.",['optimism'],I'm so hungry but when i try and eat i feel sick and can't eat Strategy: ['optimism'],['optimism'] ,"['optimism'] I'm hungry, but when I try to eat I feel sick and can't eat. Fortunately, I took a medicine and soon I'll be better."
48,"Why do I get upset all the time? Hate being by meself, get emotional easier.",The good thing about being alone all the time is that I can focus on my personal projects and myself!,"['neutralizing', 'optimism']","Why do I get upset all the time? Hate being by meself, get emotional easier. Strategy: ['neutralizing', 'optimism']","['neutralizing', 'optimism'] ","['neutralizing', 'optimism'] The good thing about being alone all the time is that I can focus on my personal projects and myself!"
49,"my nose hurts, my stomach, I'm tired, and I have a LOT of makeup work.",I'm glad I could stay home today and focus on getting healthy. I'll worry about classes once I'm feeling better.,['thankfulness'],"my nose hurts, my stomach, I'm tired, and I have a LOT of makeup work. Strategy: ['thankfulness']",['thankfulness'] ,['thankfulness'] I'm glad I could stay home today and focus on getting healthy. I'll worry about classes once I'm feeling better.
50,"If You had the balls to Leave without Caring, Don't Bother Coming Back!!!!!!! Disappointed Angry","If someone wants to leave me, and I am going to move on with my life because I have better things in my future.","['optimism', 'self_affirmation']","If You had the balls to Leave without Caring, Don't Bother Coming Back!!!!!!! Disappointed Angry Strategy: ['optimism', 'self_affirmation']","['optimism', 'self_affirmation'] ","['optimism', 'self_affirmation'] If someone wants to leave me, and I am going to move on with my life because I have better things in my future."
51,"What I don't understand, is how can I be this clear and still have you wondering?","If I make an effort to work on my interpersonal skills, I'll be able to communicate better and more clearly with a variety of people, which will help me connect with others.",['growth'],"What I don't understand, is how can I be this clear and still have you wondering? Strategy: ['growth']",['growth'] ,"['growth'] If I make an effort to work on my interpersonal skills, I'll be able to communicate better and more clearly with a variety of people, which will help me connect with others."
52,another late night and early morning College work has taken over my lifecollege coursework fashion tired exhausted,"College is a lot of work, but I am thankful that I have the opportunity to go.",['thankfulness'],another late night and early morning College work has taken over my lifecollege coursework fashion tired exhausted Strategy: ['thankfulness'],['thankfulness'] ,"['thankfulness'] College is a lot of work, but I am thankful that I have the opportunity to go."
53,I just wanna crawl up in my bed and go to sleep for as long as possible. SoUpset,I would love to go to sleep and wake up in a better frame of mind tomorrow.,"['impermanence', 'optimism']","I just wanna crawl up in my bed and go to sleep for as long as possible. SoUpset Strategy: ['impermanence', 'optimism']","['impermanence', 'optimism'] ","['impermanence', 'optimism'] I would love to go to sleep and wake up in a better frame of mind tomorrow."
54,"I should have ratted on you, but I didn't because I'm not as mean a person as you.",I am loyal to my friends and do not usually tell on them.,"['growth', 'optimism']","I should have ratted on you, but I didn't because I'm not as mean a person as you. Strategy: ['growth', 'optimism']","['growth', 'optimism'] ","['growth', 'optimism'] I am loyal to my friends and do not usually tell on them."
55,I'm so tired. I wish I could just spend the night relaxing but I have way too much homework. Ugh,I am tired and have too much homework. I hope to finish it soon and relax in my bed.,"['neutralizing', 'optimism']","I'm so tired. I wish I could just spend the night relaxing but I have way too much homework. Ugh Strategy: ['neutralizing', 'optimism']","['neutralizing', 'optimism'] ","['neutralizing', 'optimism'] I am tired and have too much homework. I hope to finish it soon and relax in my bed."
56,I need to blow a blunt asap. It's been a long day. Headphones are in and the volume is,It's been a long day have to take rest.,"['self_affirmation', 'thankfulness']","I need to blow a blunt asap. It's been a long day. Headphones are in and the volume is Strategy: ['self_affirmation', 'thankfulness']","['self_affirmation', 'thankfulness'] ","['self_affirmation', 'thankfulness'] It's been a long day have to take rest."
57,"Wouldn't it be nice to not have to worry about work or money or anything, absolutely sick of being an adult","I know it would be like not worrying about work or money. But looking on the bright side, these are things that made many other things possible for me, so I'm happy with that.","['growth', 'optimism']","Wouldn't it be nice to not have to worry about work or money or anything, absolutely sick of being an adult Strategy: ['growth', 'optimism']","['growth', 'optimism'] ","['growth', 'optimism'] I know it would be like not worrying about work or money. But looking on the bright side, these are things that made many other things possible for me, so I'm happy with that."
58,The only thing keeping me going is knowing everyday that goes by is one day closer to closing on our house..,Life is tough now but soon it will all be worth it when we can move in to our new home.,['optimism'],The only thing keeping me going is knowing everyday that goes by is one day closer to closing on our house.. Strategy: ['optimism'],['optimism'] ,['optimism'] Life is tough now but soon it will all be worth it when we can move in to our new home.
59,"Since I done 4 hours of maths, I feel like I may just pass hopefully :) hate exams","I've done 4 hours of math, I'm ready to pass the test!","['neutralizing', 'optimism']","Since I done 4 hours of maths, I feel like I may just pass hopefully :) hate exams Strategy: ['neutralizing', 'optimism']","['neutralizing', 'optimism'] ","['neutralizing', 'optimism'] I've done 4 hours of math, I'm ready to pass the test!"
60,after 6 hours of research and typing I am half way through my psychology essay and haven't even started my english one fuck,6 hours of research and hard work I am half way through my psychology essay! Motivated to finish this and the English essay,['neutralizing'],after 6 hours of research and typing I am half way through my psychology essay and haven't even started my english one fuck Strategy: ['neutralizing'],['neutralizing'] ,['neutralizing'] 6 hours of research and hard work I am half way through my psychology essay! Motivated to finish this and the English essay
61,If I was me.. Where would I hide all my money I saved for Vegas.. cuz I'm too good of a hider :(,If I was me I will hide my money in a secert place for Vegas this will help to take in future.,['growth'],If I was me.. Where would I hide all my money I saved for Vegas.. cuz I'm too good of a hider :( Strategy: ['growth'],['growth'] ,['growth'] If I was me I will hide my money in a secert place for Vegas this will help to take in future.
62,Finding it really hard getting in all my meals with work  how do you all do it????,"I am not sure how the rest of you getting in all your meals with all the work, and I have a similar problem, but at least I can say I have been productive at the end of the day",['thankfulness'],Finding it really hard getting in all my meals with work  how do you all do it???? Strategy: ['thankfulness'],['thankfulness'] ,"['thankfulness'] I am not sure how the rest of you getting in all your meals with all the work, and I have a similar problem, but at least I can say I have been productive at the end of the day"
63,Being in such a good mood to want to curl up and cry mood swings bored tired,I will let everything bad pass... Good things will come. I just need to allow myself to feel every emotion I can!,"['growth', 'optimism', 'self_affirmation']","Being in such a good mood to want to curl up and cry mood swings bored tired Strategy: ['growth', 'optimism', 'self_affirmation']","['growth', 'optimism', 'self_affirmation'] ","['growth', 'optimism', 'self_affirmation'] I will let everything bad pass... Good things will come. I just need to allow myself to feel every emotion I can!"
64,"This is the 3rd floor. You don't giggle here. Go flirt downstairs, ya little shits.","I'm glad you're in a good mood, but this is the 3rd floor.  You don't giggle here because we try to be quiet on this floor.  You're most welcome to go flirt and laugh downstairs though.","['neutralizing', 'thankfulness']","This is the 3rd floor. You don't giggle here. Go flirt downstairs, ya little shits. Strategy: ['neutralizing', 'thankfulness']","['neutralizing', 'thankfulness'] ","['neutralizing', 'thankfulness'] I'm glad you're in a good mood, but this is the 3rd floor.  You don't giggle here because we try to be quiet on this floor.  You're most welcome to go flirt and laugh downstairs though."
65,It has me thinking on a lot of stuff that I really don't need,Thinking about many things can be good since it means I have things to think about.,['optimism'],It has me thinking on a lot of stuff that I really don't need Strategy: ['optimism'],['optimism'] ,['optimism'] Thinking about many things can be good since it means I have things to think about.
66,I'm about to have a fucking mental breakdown. Can't wait to finish these 4 fucking final exams,So glad these finals are almost over,['impermanence'],I'm about to have a fucking mental breakdown. Can't wait to finish these 4 fucking final exams Strategy: ['impermanence'],['impermanence'] ,['impermanence'] So glad these finals are almost over
67,Didn't sleep got a lot on my mind !!!stresseddont wanna give a fuck no more !!,I need to stay calm now so I don't get even more stressed. Sleeping little is bad for me.,"['optimism', 'self_affirmation']","Didn't sleep got a lot on my mind !!!stresseddont wanna give a fuck no more !! Strategy: ['optimism', 'self_affirmation']","['optimism', 'self_affirmation'] ","['optimism', 'self_affirmation'] I need to stay calm now so I don't get even more stressed. Sleeping little is bad for me."
68,I can't remember the last time I didn't have anything to do and I have a game everyday this week and the SAT's and work Saturday..,I keep my time busy so I can be productive!,['growth'],I can't remember the last time I didn't have anything to do and I have a game everyday this week and the SAT's and work Saturday.. Strategy: ['growth'],['growth'] ,['growth'] I keep my time busy so I can be productive!
69,I am the only person I know who writes a healthy grocery list and plans meals when I am stressed:( CantSleep,I'm so thankful that I am still able to eat healthy even when I'm stressed.,['thankfulness'],I am the only person I know who writes a healthy grocery list and plans meals when I am stressed:( CantSleep Strategy: ['thankfulness'],['thankfulness'] ,['thankfulness'] I'm so thankful that I am still able to eat healthy even when I'm stressed.
70,It's one o' clock in the morning. i just like spazzed out. felt like just another panic attack. hyperventlating is never fun.,"Having panic attacks is hard, I just need to remember to slow my breathing, and it will pass.",['impermanence'],It's one o' clock in the morning. i just like spazzed out. felt like just another panic attack. hyperventlating is never fun. Strategy: ['impermanence'],['impermanence'] ,"['impermanence'] Having panic attacks is hard, I just need to remember to slow my breathing, and it will pass."
71,Does anyone else feel terribly pressured to come up with the perfect subject line when sending out emails?,It entertains me to think about the different ways that exist to send electronic emails!!,['optimism'],Does anyone else feel terribly pressured to come up with the perfect subject line when sending out emails? Strategy: ['optimism'],['optimism'] ,['optimism'] It entertains me to think about the different ways that exist to send electronic emails!!
72,"Ive been so busy with school work man so glad next week the last week, im so tired, this last class got me sleepy af  finals next week too so I been trynna study and shit as well fck  Im drained","Only one week left before finals are all over, and I'm done with school for now. Going to rest then study for the finals.","['impermanence', 'neutralizing', 'thankfulness']","Ive been so busy with school work man so glad next week the last week, im so tired, this last class got me sleepy af  finals next week too so I been trynna study and shit as well fck  Im drained Strategy: ['impermanence', 'neutralizing', 'thankfulness']","['impermanence', 'neutralizing', 'thankfulness'] ","['impermanence', 'neutralizing', 'thankfulness'] Only one week left before finals are all over, and I'm done with school for now. Going to rest then study for the finals."
73,"I would never wish for a shutdown, but I wouldn't mind logging off for a few days and then restarting. Crushed",I think a few days logged off would be really great for my health.,"['neutralizing', 'self_affirmation']","I would never wish for a shutdown, but I wouldn't mind logging off for a few days and then restarting. Crushed Strategy: ['neutralizing', 'self_affirmation']","['neutralizing', 'self_affirmation'] ","['neutralizing', 'self_affirmation'] I think a few days logged off would be really great for my health."
74,Seriously who created group chats i'm talking to 6 different groups right now and God forbid i message the wrong group,I'm going to be mindful of the messages I'm sending out.,['neutralizing'],Seriously who created group chats i'm talking to 6 different groups right now and God forbid i message the wrong group Strategy: ['neutralizing'],['neutralizing'] ,['neutralizing'] I'm going to be mindful of the messages I'm sending out.
75,In 23h I would have pass my oral presentation. Hopefully it will go well and be a good news at the end Or not.,"Whatever the result of my oral presentation will be, at least I will be done with it so I can move on to other stuff in my life.",['optimism'],In 23h I would have pass my oral presentation. Hopefully it will go well and be a good news at the end Or not. Strategy: ['optimism'],['optimism'] ,"['optimism'] Whatever the result of my oral presentation will be, at least I will be done with it so I can move on to other stuff in my life."
76,Helped shovel my sister's drive yesterday. It's 2:30 am and my shoulder hurts and I can't sleep. This sucks.,"Helped shovel my sister's drive yesterday. Even though my shoulder is hurting now, it is always important to help family.",['self_affirmation'],Helped shovel my sister's drive yesterday. It's 2:30 am and my shoulder hurts and I can't sleep. This sucks. Strategy: ['self_affirmation'],['self_affirmation'] ,"['self_affirmation'] Helped shovel my sister's drive yesterday. Even though my shoulder is hurting now, it is always important to help family."
